      1 "L. grayi
      1 "L. innocua
      1 "L. ivanovii
      1 A. brasiliensis
      1 A. brassicae
      1 A. favus
      1 A. fla
      1 A. fumigates
      1 A. lwoffi
      1 A. lwoffii
      1 A. molecular
      1 A. ochraceus
      1 A. solani
      1 A. umigates
      1 A. vinelandii
      1 B. brevis
      1 B. elliptica
      1 B. flexus
      1 B. megateriurm
      1 B. mycoides
      1 B. pertussis
      1 B. proteus
      1 B. s
      1 B. sp
      1 B. stabilis
      1 B. ﬂexus
      1 C. albican
      1 C. beticola
      1 C. bouis
      1 C. columnare
      1 C. comatus
      1 C. falcatum
      1 C. fulvum
      1 C. geniculata
      1 C. grabrata
      1 C. lusitania
      1 C. lymphocytic
      1 C. meningosepticum
      1 C. michiaganesis
      1 C. perfringensâ
      1 C. striatum
      1 C. utilis
      1 D. coniospora
      1 D. pneumoniae
      1 D. ribution
      1 E. asbriae
      1 E. avicum
      1 E. avium
      1 E. carolovora
      1 E. col
      1 E. feces
      1 E. jaecalis
      1 E. plantarum
      1 E. spp
      1 E. spp.i-11305b
      1 F. aquaeductuum
      1 F. bulbigenum
      1 F. equiseti
      1 F. lactis
      1 F. neoformans
      1 F. poae
      1 F. proliferatum
      1 F. sporotrichioides
      1 G. saubinetii
      1 H. annosum
      1 H. ducreyi
      1 H. fibrosarcoma
      1 H. inﬂuenzae
      1 H. nasopharyngeal
      1 H. neuroblastoma
      1 H. pulchellus
      1 H. somni
      1 H. spp
      1 I. molecular
      1 K. cryocrescens
      1 K. ozaenae
      1 K. terrigena
      1 L. amazonensis
      1 L. corenyformis
      1 L. corymbifera
      1 L. fermenti
      1 L. garviae
      1 L. moncyrogenes
      1 L. monocytogenes.gram-negative
      1 L. mucor
      1 L. murrayi
      1 L. paracasei
      1 L. raffinolactis
      1 L. reuteri
      1 L. rhamnosus
      1 L. tropica
      1 L. welshimeri
      1 M. abscessus
      1 M. albican
      1 M. albicans
      1 M. audouinii
      1 M. citreus
      1 M. fortuitum
      1 M. gypseum
      1 M. hominis
      1 M. humenis
      1 M. lutes
      1 M. phaseolina
      1 M. s
      1 M. spp
      1 M. viscosa
      1 N. catrrhalis
      1 O. carcinoma
      1 O. cayaporum
      1 P. acidolacrici
      1 P. apacia
      1 P. azadirachtae
      1 P. cepacia
      1 P. chrysogenum
      1 P. cichorii
      1 P. curious
      1 P. damsela
      1 P. flourescences
      1 P. glumae
      1 P. graminicola
      1 P. granivorans
      1 P. heliothis
      1 P. immobilis
      1 P. lachrymans
      1 P. lilacinum
      1 P. luteola
      1 P. nigrella
      1 P. pyocyanea
      1 P. roqueforti
      1 P. rubrilineans
      1 P. s
      1 P. species
      1 P. spiniger
      1 P. ssp
      1 P. stipitis
      1 P. stiptis
      1 P. valerianella
